日期及型号,评论
2025年1月18日 · 【非DP设备推荐】Beam Pro 128G套装,心心念念终于到手了 跟网上测评的一样好用 不愧为AR眼镜毕业产品 特别是游戏方面佩戴这款眼镜可能在室内显得有些显眼，但它们提供了更为舒适的游戏体验。我不必再驼着身子盯着Steam Deck的屏幕，而是可以直视前方或任意选择的方向。这一特点使得这款眼镜对于追求便携大屏体验的旅行者尤其吸引。对大多数人而言，价格可能显得过于昂贵，但使用这款眼镜无疑是令人愉悦的，且提升了游戏体验。
2024年12月19日 · 【DP直连】标准版,之前用过雷鸟air2，是0dof的，不能调节屏幕大小，只能跟随头部运动，导致想看屏幕边缘很费劲，而且看不清。这次的xreal one 加入了3dof模式就完美的解决了这个痛点，并且屏幕可以调到很大。眼镜的3dof模式很稳，比beampro的3dof模式要稳很多，毕竟大大减少了数据传输路径。唯一不足的就是fov只有50°，导致大屏幕看不太全，少了一点沉浸感，期待后续能有这方面升级
2025年1月3日 · 【DP直连】标准版,物流很快，物品完好无损，用起来很舒服，喜欢�真的很好，性价比也很高，质量也很好，物流也快啊！一天就到货了！材质很好，质量也不错，到货也很快宝贝非常棒，是自己想要的那种风格，到货也很快，谢谢老板，服务五颗星价格非常的美丽，东西还是不错的，会继续回购！全五分！奈斯奈斯～宝贝与描述基本一致，发货很快，值得一买感觉实物比图片更好看，价格和质量成正比，这次购物非常满意，喜欢的宝宝赶紧下手
2024年12月16日 · 【DP直连】标准版,一款非常棒的具有投屏功能的AR眼镜，使用感受非常惊艳。它能够将手机、平板或电脑的内容无缝投射到眼前，带来沉浸式的大屏体验，无论是追剧、看电影还是展示工作内容，都十分方便。画面清晰，色彩真实，视觉效果极其舒适，仿佛随身携带了一块巨大的私人屏幕。佩戴轻便，长时间使用也很舒适，非常适合旅途中或居家使用。操作简单，连接快速，是一款非常实用且富有科技感的设备，极大提升了日常娱乐与工作体验！
2024年12月13日 · 【DP直连】标准版,看了很久的air2pro，但是因为没有悬停一直没有购买，最近看到了新款发布的消息，新款配了x1芯片，可以实现不需要beam就可以做到悬停，云台，画面放大和远近调节，第一时间提交了预约。实际使用效果来看，眼镜的色彩准确，亮度高，悬停效果令人满意，声音也很不错，总之，这次的购买完全物有所值，为我们的国家又有这样一家高科技企业而骄傲！希望xreal one可以大卖，祝xreal越来越好!
2025年7月17日 · 【DP直连】标准版,佩戴起来轻盈舒适，仿佛为眼睛量身定制。其高清显示效果与3DoF空间定位技术，让虚拟世界与现实无缝对接，带来前所未有的视觉盛宴。在使用过程中，惊叹于它的沉浸感和交互性，无论是观影、办公还是游戏，都能享受到前所未有的真实与趣味。佩戴轻盈如羽，仿佛打开了新世界的大门。其高清显示效果与3DoF空间定位技术，让虚拟与现实无缝融合，无论是观影还是办公，都能带来前所未有的沉浸式体验，感觉太棒了。
2025年3月3日 · 【DP直连】标准版,确实比较成熟的产品了，可以入手尝试了，大多数想象的使用场景都很轻松可以达成想象中的体验了，龟毛者除外，使用也比较方便，基本上就是插上就来了，就是时不时会出现黑屏现象，一般取下再戴上就好了，感觉可能是接口有点松脱，也可能是播放设备自动息屏引起的功能逻辑出错，还有一个很多测评没提到的就是，不一样的设备投屏显示的视觉大小和设备一致，用iPadmini就会自动全屏放大，用折叠屏就是方屏直接投影
2025年1月6日 · 【DP直连】标准版,之前一直关注AR眼镜很久了，一直犹豫没有入手。一开始先试了inair pro2，虽然也有云台和空间固定模式，但连电脑后屏幕闪得太厉害了。这款Xreal one自带芯片，兼容性和速度提高了很多，应该是这个形态眼镜目前最好的形式了，可惜等不到Xreal one pro了，先买这款当做老婆的生日礼物了。老婆还是挺喜欢的，看剧特别爽。这款还可以调节瞳距，拿到后连接电脑升级一下固件，感觉会更好些。
2024年12月16日 · 【DP直连】标准版,本老用户在看见了，这个新款出了之后立马下单。xreal one有了3dof功能之后比原来的效果好了很多。原来要实现3dof需要外接一个设备非常的不方便。现在我用来连接手机，连接iPad连接电脑，都有3dof。全都是一线连。并且内置了UI菜单，功能丰富程度比原来提升了非常多。特别是超宽屏的功能接上mac后非常实用。另外内置了3d功能，连接mac可以很方便看sbs 3d的视频，3d效果非常好。
2024年12月26日 · 【DP直连】标准版,之前尝试过pico4和quest3，但是总感觉佩戴太过麻烦，而上一代xreal还要挂个beam就没入手。终于等到内置芯片的one了。我主要用来连我的mac看Netflix。屏幕确实非常大，躺在床上这个屏幕可以铺满整个天花板，只可惜视场角还不够大，存在被遮挡的情况，但也已经够用了。用来玩地平线简直就是无敌，配合手柄直接赛道爽开，玩绝区零和黑神话的色彩表现也很不错，可惜没有4k，希望下一代能上。
2025年1月14日 · 【DP直连】标准版,首先使用xrealone眼镜的体验非常好一直以来都想买一副AR眼镜 但市面上的产品 实在是无法做到便携性 就一直在观望AR眼镜 希望轻便 操作简单 清晰度高 看到xreal one之后果断首发购买 功能简单实用也没有什么额外的配件 自研的芯片能够实现3Dof 在市场上也是独一份的 完全够用 满足日常需求 戴上眼镜后 清晰度 亮度 延迟都比想象中的要更好 云台的稳定性也很棒几乎没有延迟也不会头晕
2025年1月26日 · 【DP直连】标准版,最近入手了XREAL One，真的被它的表现惊艳到了！首先，外观设计非常时尚，佩戴起来轻便舒适，长时间使用也不会觉得累。显示效果非常清晰，色彩还原度很高，沉浸感十足，无论是看电影、玩游戏还是办公，体验都非常流畅。最让我惊喜的是它的便携性，随时随地都能享受大屏体验，简直是科技与生活的完美结合！客服服务也很贴心，解答了我很多疑问。总之，XREAL One绝对是一款值得入手的高科技产品，强烈推荐给大家！
2024年12月16日 · 【DP直连】标准版,相比于上一代智能眼镜，本次智能眼镜有了很多方面的更新，大大提高了用户的体验，增强了用户体验的舒适性，可以单独配近视眼镜，能让广大近视患者享受进AR眼镜的乐趣，相比于上一代智能眼镜，本代智能眼镜有着稳定的显示效果，即使晃动脑袋，显示界面也不会晃动，而且不需要额外的软件支持，另外也增加了电质变色的玻璃，既能让用户沉浸在自己的观影世界中，也可以让用户及时的与现实世界产生交流，希望该公司能做出越来越好的产品
2024年12月17日 · 【DP直连】标准版,曾经一度一度我的装修方案里有把卧室天花板变成投影屏幕的计划，投影机往房顶投射，这样我就可以躺着看电影，用来拯救我的腰椎和颈椎，现在感觉不用了，Xreal one解决了一切，解决了投影机安装位置，解决了拉窗帘，解决了音响系统，解决了方便存放。自研芯片支持3DOF，即使做云台也是相当的稳，一点也不眩晕，一个高刷27显示器的价格，真的不贵，因为在家能用外出也能用，再也不用举着手机一两个小时了。产品力爆表！
2024年12月26日 · 【边充边玩】标准版+Hub套装,佩戴整体还是比较舒适，虽然比普通眼镜重，但是佩戴感受差不多。3dof效果跟朋友的viture比起来，移动的时候明显帧数要高很多，更顺滑。显示效果不过不失，fov范围比较小，开3dof的时候实际上头也不能转很大角度，否则画面会跑出去。用beam串流玩ps5延迟比较大，关掉nebulaos的交互界面开游戏模式会好一些，但是游戏模式有时会发生断触，希望能更新系统改善。希望后续产品能改善fov，4k也搞起来！
2024年12月30日 · 【DP直连】标准版,XREAL新品 XREAL One 简直惊艳!它内置自研x1芯片，轻松实现原生 了DOF悬停，画面流畅又稳定。支持32:9的超宽带鱼屏模式，拿它结合我的掌机完游戏简直爽翻了。分辨率高达1080P，刷新率最高可达120Hz，搭配 50°的广阔视场角，观影带来极致体验。仅3ms的超低延迟，有效缓解晕动症。更有 XREAL Eye护展镜头和 Bose音频技术的加入，无论是娱乐还是办公，都表现得相当出色，值得推荐。
2025年1月12日 · 【DP直连】标准版,很棒，电致变色这一功能相当酷炫。画面的清晰程度很高，而且显示范围颇为宽广，音质非常满意。功能完备，重量轻盈。连接线采用了编织材质，这一点值得称赞，因为这种材质更加耐用。这是一次非常棒的体验。大屏幕在高铁动车上的体验感很棒。很有趣的地方是原生了3Dof和ODof云台模式，不再需要单独连接计算单元盒子了，延迟低，画面稳定，视觉体验很佳，观看自己拍摄的照片和视频时有种身临其境之感，毕竟画面足够大，期待推出摄像头。
2024年12月16日 · 【DP直连】标准版,这款新品XREAL One简直让我直呼未来已来！ 它搭载了自研的空间计算X1芯片，和Vision Pro同级，原生支持天生3DoF悬停操作，告别传统AR眼镜的束缚，沉浸感拉满。特别是这款并非翻译眼镜，而是实打实的“智能硬件”，体验感完全不同。 无论是看电影、玩游戏，还是处理工作任务，都能让你拥有极致未来感。轻盈设计，戴上它就像打开了一扇通向元宇宙的门。 XREAL One，真的是科技迷不可错过的下一站潮流装备！
2024年12月23日 · 【DP直连】标准版,首先，关于商品的外观，我购买的商品包装完好无损，外观设计精美，与我预期的一致。其次，商品的质量也非常出色，无论是材质还是做工都非常精细，显示出贵平台对产品质量的严格把控。  再者，我想谈谈商品的价格。我认为这款商品的价格与其质量和性能相匹配，性价比相当高。同时，无论是售前咨询还是售后解决问题，都表现得非常专业和高效。  总的来说，我对这次购物体验感到非常满意。商品的质量、性能以及优质服务都给我留下了深刻的印象。
2024年12月15日 · 【DP直连】标准版,第一次尝试这类眼镜，非常精细，推荐买one这款，因为不需要购买bean这个外挂，使用起来更便捷了，可以让屏幕直接悬停在空中，在家躺着看电影玩游戏非常爽。配合上steamdeck后，游戏玩起来舒服多了，果然屏幕大就是爽，以后可以随时随地玩了，不用外接显示屏了。我儿子带上眼镜一直惊叫，说太帅了。 因为我近视眼，所以立马补货买了近视眼镜，体验可以提升更高。另外，突然发现蔚来汽车上的眼镜就是这款，立马亲切起来，国货之光啊
2024年12月19日 · 【DP直连】标准版,专门用了几天来评价，眼镜整体便携，操作熟悉一下按键非常方便，居家使用悬停模式看电影非常过瘾，首次使用要注意多次调整一下观影距离，和屏幕尺寸与瞳距，还有眼镜架角度与鼻托 慢慢找到最适合自己的参数，设备本身有记忆功能调好后一劳永逸，最近没出差没有好好实验一下云台模式，摇头时有略微延迟，可以减少眩晕感。这款眼镜最让我意外的是音频，本来以为只是听个响，没想到竟然出乎意外的好，希望商家继续努力推出更新的产品把未来变成现实。
2024年12月13日 · 【DP直连】标准版,峯狂買~~ Xreal One ~AR眼鏡芯境界~ 加入自主研發空間計算X1晶片~原本需要連接上Beam的3DoF功能~整合進了小小的機身裡~ Ultra上搭載的電致變色鏡片One也繼承下來~這下出門玩遊戲、看影片就更加方便啦~其它升級50°Fov有更大的視角~Bose加持的揚聲器~600nits亮度~最高120hz刷新率~完美搭配掌機遊戲體驗~從Air2開始~掉進AR眼鏡的大坑~一時買一時爽~一直買一直爽~XD~
2024年12月15日 · 【DP直连】标准版,这款新款 AR 眼镜实在是太棒了！它在各个方面都展现出了卓越的性能和高品质的体验，无论是画面呈现的细腻度还是色彩的丰富程度都非常到位。而最令我印象深刻的是它将原本需要繁琐操作的步骤进行了简化处理（比如快速自动校准等功能），并加入了对新一代接口标准的支持进一步增强了我对整个产品的满意度！全新的AR眼镜使用感受非常棒，完全不晕眩，与上一代相比有了显著提升。集成Beam技术后更加便携易带，值得推荐给所有喜欢尝鲜的朋友们。
2024年12月16日 · 【DP直连】标准版,给猪蹄子买的，评价如下：总体来说还是很满意的，说说几种设备连接的方法，iphone15直连，只要带着原配的线，飞机高铁上比较方便。Switch需要用到厂家配的Hub，顶部插入switch的type C口，底部一端要插上充电插头，另一端连眼镜，这种方式手柄拆下后比较方便。最后是Ps5需要额外购买一个HDMI转type C的转接头，100元左右。连接方式相较于switch简单。整体效果呈现会比在电视或者电脑屏幕上好很多！
2024年12月12日 · 【DP直连】标准版,air2 pro我就买了，当时很喜欢，还在TGFC推荐了，不少论坛网友被我安利。 这次新一代出来，解决了痛点，还强化了不少地方，用起来更舒服啦！对我自己来说，原生3 Dof、BOSE调音（本人BOSE死忠！）、远处消音（懂得都懂�）、画面补帧！！！、还有可以换皮肤！（我就喜欢和别人不一样）…… 很难相信，这么多玩意居然现在整合在一只小小的眼镜里面，这是什么黑科技？ 我要再去整一只回来！每天和老婆抢着用也不是事[买爆R]
2024年12月14日 · 【DP直连】标准版,我作为一名科技发烧友，这款新品XREAL One 真的是太棒了，它搭载了自研的空间计算X1芯片，原生支持天生3DoF悬停操作，告别传统AR眼镜的束缚，沉浸感拉满，无论是看电影、玩游戏，还是处理工作任务，都能让我拥有不一样的体验，机身眼镜部分变薄了，戴上更像个普通墨镜，音质没得说，调教得很好，完全是电影院的水平，眼镜腿和鼻托也很舒服，符合日常大部分使用场景，不会带久了很累，完全是之前所有市面上的智能设备比不了的，值得购买
2024年12月15日 · 【DP直连】标准版,WOW～正好在双十二赶上新品发布，同时又有一波活动，感觉赚大了�整个眼镜拿在手上居然没有想象中的重，戴上眼镜重量也是能接受的。眼镜配置的云台功能，能够随着头部转动调整屏幕位置，大爱！！对菜单设置熟练以后，可以根据自身情况设置屏幕远近、大小，完美解决了个人独处时的影院观影模式享受，暂时还没有找到3D片源，到时还能在家体验3D观影�喜欢科技新品的小伙伴可以考虑入手，外出携带也超级方便，不亏啊�目前还在逐步探索更多功能的使用
2025年1月20日 · 【DP直连】标准版,XREAL One 智能 AR 眼镜是值得购买的，如果你对新兴科技产品充满兴趣，喜欢尝试和体验最新的技术，XREAL One 凭借其先进的空间计算芯片、出色的显示效果和创新的功能设计，能够为你带来全新的视觉和交互体验，满足你对科技的探索欲望。对于经常需要出差或移动办公的人来说，XREAL One 可以作为一个便携的虚拟扩展屏幕，将其与笔记本或平板电脑连接，即可获得双屏办公的高效体验，提高工作效率，方便随时随地处理工作任务
2024年12月20日 · 【DP直连】标准版,#ar眼镜  #xreal  首先使用xrealone眼镜的体验非常好一直以来都想买一副AR眼镜 但市面上的产品 实在是无法做到便携性 就一直在观望AR眼镜 希望轻便 操作简单 清晰度高 看到xreal one之后果断首发购买 功能简单实用也没有什么额外的配件 自研的芯片能够实现3Dof 在市场上也是独一份的 完全够用 满足日常需求 戴上眼镜后 清晰度 亮度 延迟都比想象中的要更好 云台的稳定性也很棒几乎没有延迟也不会头晕
2024年12月28日 · 【非DP设备推荐】Beam Pro256G套装,经常被人推荐这款新出的XREAL One ，当看完它的评测后就完全心动了。之前已经买过一个旧款了，但由于配件太多而不怎么经常用，太麻烦了。但这次新款把3DOF集成到眼镜里，太方便了，我就立刻下单。到手后感受十分良好，尤其是它的天生3D0F功能以及三档电致变色，使得我在长途旅行中使用时十分便携，看了时候也不会有那头晕，并且它的沉浸感十足，亮度也很高，还带120hz高刷，也可以戴着玩游戏，十分全面！这个眼镜让娱乐生活的品质又进一步。
2025年5月8日 · 【DP直连】标准版,这款新款AR眼镜实在是太棒了！它在各个方面都 展现出了卓越的性能和高品质的体验，无论是画面 呈现的细腻度还是色彩的丰富程度都非常到位。而 最令我印象深刻的是它将原本需要繁琐操作的步骤 进行了简化处理（比如快速自动校准等功能），并 加入了对新一代接口标准的支持进一步增强了我对 整个产品的满意度！全新的AR眼镜使用感受非常 棒，完全不晕眩，与上一代相比有了显著提升。集 成Beam技术后更加便携易带，值得推荐给所有喜欢 尝鲜的朋友们。
2025年1月26日 · 【DP直连】标准版,"•  显示效果出色：配备两块索尼Micro OLED屏幕，单眼分辨率1920×1080，支持108% sRGB色域和100,000:1的对比度￼。FOV（视场角）达到50°，相比前代产品有效信息量提升了20%，且支持32:9超宽屏模式，最大可在10米距离观看367寸巨幕￼。 •  音效表现优秀：镜腿上的扬声器开孔面积增大，并由Bose调校，三频表现出色，搭配“远场消音”技术，无论在安静还是嘈杂环境中，都能提供沉浸感强的环绕音效￼。"
2025年2月19日 · 【DP直连】标准版,买了这几天，天天都在用，电脑都不开了，拿来观影真的绝了，巨幕就在眼前，沉浸感强，扬声器音质也很棒，不愧是和BOSE合作的。但是连接我的steamdeck会有点问题，联系客服升级以后，还是会莫名的断开，不知道别人有没有这个bug，ns还没有尝试过。优点综上所述，缺点就是导致手机平板耗电有些快，戴时间长了会略感疲惫，油皮容易往下滑。总之这个AR眼镜真的瑕不掩瑜，太喜欢了！希望以后系统固件优化越来越好，更希望AR眼镜未来发展能够更轻便！
2025年1月2日 · 【边充边玩】标准版+Hub套装,Xreal One 眼镜是一款出色的AR设备，结合轻巧的设计和强大的功能，为用户带来了沉浸式的视觉体验。镜片高清显示，色彩细腻，适合观看电影、玩游戏或处理多任务。佩戴舒适，即使长时间使用也无明显压迫感，兼容性强，能轻松连接多种设备。操作简单直观，适合不同年龄段的用户使用。电池续航表现优秀，完全满足日常需求。包装精致，售后服务专业，让人倍感放心。无论是娱乐还是工作，Xreal One 都是一款科技感十足、功能强大的智能眼镜，非常值得拥有。
2024年12月13日 · 【DP直连】标准版,使用过pro2的用户来评论了，拿到one真的好惊艳 1. 墨镜部分变薄了，戴上更自然了，更像个普通墨镜 2. 音响质的提升，音质没得说，太强了 3. 居然鼻托也优化了，以前是镜片和鼻托一起的，现在分开了，没收到镜片，怎不评论这个改动是好是坏 其实上面这些我都不看重，只能说是惊喜，最重要的是原生3dof，太好用太方便了，所有现实参数都能在眼镜里调整。屏幕距离、大小、鱼屏模式，完全可以让beam吃灰了。原生3dof配pc掌机，打游戏终于不晕了
2024年12月22日 · 【DP直连】标准版,原价购入，不是首发购，是第二批，首发送那个转换头。二批没得。打算看视频用。有一说一大屏看是真的爽。但是可能是我有点轻度近视原因。带一个多小时会感觉累。找时间我调调瞳距试试，看看行不行。 缺点。太紧了。对于大头人来说，挤头。感觉就像俩夹子在夹我。 还有一个问题。准确说应该是beamPro的问题。beampro的软件没有适配one one主打卖点调距离和调瞳距等操作在链beamPro用不了。软件会强制变成软件操作模式。希望后续螚更新解决这个问题
2024年12月30日 · 【DP直连】标准版,XREAL One 是一款专为沉浸式娱乐设计的AR眼镜，其内建自家研发的芯片，原生支持3DoF追踪，带来更加稳定且流畅的使用体验。眼镜配备高分辨率显示效果，适合观看影片、游戏或其他多媒体内容，模拟巨型屏幕视觉效果。与主流设备的连接简单，适配性强，加上轻便设计，长时间使用亦感舒适。自带芯片更减少对外部设备的依赖，使整体表现更高效。整体来说，XREAL One 是一款创新与实用性兼具的AR设备，适合科技爱好者及数字娱乐用户。期待下一款更完美的产品。
2025年1月6日 · 【DP直连】标准版,这代的产品才真正称得上能用好用的产品，推荐大家入手。从功能上来说:首先，屏幕呈现的画面效果不错，色彩艳丽。其次，防抖很好用，个人认为比悬停模式更适合观影。而悬停模式适合玩一些动作类和赛车类的游戏。从外观上来说:这款眼睛并不标新立异，外出并不会太过引人注目，这很重要。从售后上来说:客服会积极解决一般的问题，客服不懂的技术性问题也会申报给技术部门，技术部门会电话回访。最后希望xreal越来越好，越做越强，给用户带来更便捷的佩戴体验，功能更完善的产品！
2025年5月30日 · 【非DP设备推荐】Beam Pro256G套装,XREAL One+Beam Pro这对组合彻底颠覆了我的数字生活！眼镜轻得像普通墨镜，却能在眼前投出120英寸4K巨幕，通勤路上看《复联》仿佛坐进IMAX影厅。Beam Pro小巧如充电宝，实测户外投屏150寸画面依然清晰，露营时秒变露天电影院。最惊艳的是AR办公——三屏悬浮眼前查资料、回邮件、开视频会同步操作，效率翻倍！周末躺着玩PS5时，头部追踪让游戏视角自然转动，沉浸感拉满。这套未来感十足的装备，把生活每个场景都变成了科幻现场，幸福感飙升！
2024年12月13日 · 【DP直连】标准版,从一代nreal开始就觉得产品不错，后来陆续买了air2 pro和ultra，终于在这一代上看到了最成熟的产品形态。原生3dof最大的优势就是完全不抖动。很多有趣的场景例如可以通过长按功能键把屏幕固定在一个方向比如显示器旁边，这样就既能看到显示器内容，又能看到眼镜里的内容了，适合休闲上网时多任务使用，连接笔记本的超宽屏模式也很实用，摆脱了nebula软件还不成熟的短板。建议后续加入调节近视度的功能，现在配镜的时间和流程非常不利于近视用户第一时间开始使用。
2024年12月20日 · 【DP直连】标准版,ok 东西收到体验了好几天了才来评价 非常完美的产品了 比起我之前玩过的vr穿戴设备来说体验感提升了很多 毕竟是眼镜了 非常的轻 不会有之前的设备使用久了脖子酸痛的感受 画面可以说是非常惊艳 我是个近视选手 所以在设备的选择上就会很受局限 而这家本身就有配镜服务 让我可以很轻松的获得还不错的体验 当然不近视应该体验更好 呜呜呜 然后通透模式非常好用 一键就能回归正常视野 不需要穿戴一遍 然后说一下期待 什么时候能把这根线干掉 就是完美的产品了 总之 好评
2024年12月19日 · Beam Pro 256G套装,"现在Ar眼镜出来很多，纠结了很久 买了这款机器，非常精细,推荐买 one这款,还购买了bean，拿到货后试试效果,使用起来更便捷了,可以让屏幕直接 悬停在空中,在家躺着看电影玩游戏非常 爽。配合上steamdeck后,游戏玩起来舒 服多了,果然屏幕大就是爽,以后可以随 时随地玩了,不用外接显示屏了。眼镜还是很酷的三挡变色也挺好。因为我近 视眼,所以立马补货买了近视眼镜,体验 可以提升更高。另外,突然发现蔚来汽车 上的眼镜就是这款,立马亲切起来,国货 之光啊"
2024年12月22日 · 【DP直连】标准版,预售果断入手，在进行一周深度时用下来体验很好，跟win掌机搭配yyds，不管是刷b站还是打游戏都很好用，玩赛车游戏一点压力没有。把3dof集成在眼镜芯片里真的是革命性的进步，出门只要插在掌机上就可以操作了，如果加个盒子会很碍事。还有进步空间的地方一个是画面视角还可以加大，悬停模式下转头画面会有裁剪，不过足够用了；还有就是白底黑字的文字部分不可避免会抖动，长时间编辑文档会不适应，估计只有算力提升才能解决。发热问题不用担心，一点感受不到。总的来说非常推荐入手。
2024年12月17日 · 【DP直连】标准版,作为air一代和二代的老用户， 对于这次新品是十分认可的。集成了3dof到眼镜本体，不再需要外挂的beam就能实现3dof空间悬停和0dof的追踪，用hub去连接Switc***机体验提升相当多。 直连PC的稳定性和清晰度也比之前有很大提高。 通过网站直接更新firmware的管理方式体验也很丝滑。机体热量主要集中在上部，不直接对着身体也没有接触身体，长时间佩戴也没有感觉有发热影响。 音频部分这次有两种连接模式可以选择，应对一些USB接口兼容问题也十分有效。
2024年12月23日 · 【DP直连】标准版,xreal老用户了 这次新品很惊艳！眼镜佩戴舒适度超棒，轻量化设计加上合理的配重分布，长时间 使用鼻梁和耳朵也没有明显的压迫感。 显示效果令人惊艳，画面清晰、色彩鲜艳，无论是看电影还是玩游戏，沉浸感十足，感觉像拥有了一个私人巨幕。而且它的适配性很强，轻松连接手机、平板、电脑等设备，操作简单便捷，随时随地都能开启 AR 体验。 XREAL ONE 智能 AR 眼镜真的是将科技与实用完美结合，大大提升了我的生活娱乐体验，已经推荐给身边的科技爱好者 朋友，入手不亏!
2024年12月12日 · 【DP直连】标准版,作为 Xreal Air 2 用户，这次选择首发购入，第一是因为有10大首发福利；第二是因为老款还需要配合 beam 或 beam pro 使用。到货后第一时间试用了各项功能：这一代 one 直连设备，不依靠 beam 或 beam pro就可悬停 和 云台 切换。当连接到 Mac mini 点亮眼镜的一瞬间，真的是太惊喜了，而这只用水果 Vision Pro 十分之一的价格。同时产品的质感也是很令人满意。强烈推荐这款 Xreal one！希望中国品牌越做越好！
2024年12月18日 · 【DP直连】标准版,XREAL One 真的是一款让我惊喜的 AR 眼镜！它的设计非常轻便，戴上去很舒适，不会觉得压鼻梁。显示效果和老款升级不是很大，不过仍然屏幕很清晰，颜色特别鲜艳，感觉就像把电影院带到了自己面前。尤其是在玩游戏或者看剧的时候，沉浸感特别强。  操作起来也很简单，插上设备就能用，不需要花太多时间去研究。还有一个很棒的功能是它可以调节屏幕透明度，既能专心看内容，也能注意周围环境。对比其他类似产品，性价比真的是超高，值得推荐！  最后，新款眼镜盒你以前拉链的方便太多了
2024年12月30日 · 【DP直连】标准版,质量杠杠的，设计美观大方，商家服务赞，实际体验很棒，物流服务好，性价比高，爱了爱了！ 家里有vr 但是你懂的日常用 太麻烦了 ，不太适合出行，后来发现现在的ar眼镜比起前两年发展的很快，这款的原生3dof比想象中给力 我之前打算买air和beam来着 一直纠结嫌带着beam太折腾 谁知道等到了新品发售  虽然担心新品小白鼠 实际体验下来真的很不错 眼镜带着也不重 镜片上方用时稍长有微微发热可以接受 不是那种滚烫额感觉 整体还是没有踩大坑 推荐有兴趣的发烧友可以入坑
2024年12月12日 · 【DP直连】标准版,自从购买了xreal one智能AR眼镜，我的游戏体验彻底升级了！这已经是我第二次选择他们家的眼镜了，新款的3Dof功能让我完全沉浸在虚拟世界中。之前的beam pro吊瓶终于可以退休了，因为现在眼镜自带的体验已经足够出色。更令人惊喜的是，购买还附送了hub线，这让我能够无缝连接我的Nintendo Switch，随时随地享受沉浸式游戏。戴上xreal one，无论是在家中还是户外，都能享受到身临其境的快感。强烈推荐给追求高品质游戏体验的朋友们，这副眼镜绝对值得拥有！
2024年12月20日 · 【DP直连】标准版,在还没买 one 之前，我一直都在用 Air pro 2， 加上 beam pro 串流 xbox 玩游戏躺在床上玩到嘞就睡就是我减压的一个又方便又舒服的方式。我通过这个方式都打通了 P5R。不用举着显示器， 3DOF 的功能让我比坐在电视更加沉浸。而这次 ONE 让我延续了我的快乐，还解决了不用再只绑定用 beampro。我用苹果设备比较多，ipad 配这个还能得到更好视野。以后我只需戴上眼镜，就可以得到大屏 3DOF 的享受在任何设备了！这个升级真的是很大很方便。
2024年12月27日 · 【DP直连】标准版,说一些真实看法哈。东西确实不错，看着很清楚。然后3dof做的是应该是最好的。我出门坐地铁带着他也不会有明显的不适。更不用说坐在家里或者躺着了。电致变色做得很好，对着屏幕和屋顶灯都不影响观感。没有近视调节，但我有散光必须得配镜片，所以对我来说不重要。个人感觉这个挺够用的，也不打算等明年的Pro。 有点小问题的话就是有时候看文字为主的内容会出现波纹，但如果是看画面的话从来没有问题。那收纳盒如果做的更用心一点会更好。现在的收纳盒没法隔开线和眼睛，我老是怕那个线的金属划伤镜片。
2024年12月26日 · 【DP直连】标准版,音效感受： 看电影听音乐都挺不错的！因为扬声器就在耳边的镜腿上，看个电影也不会太影响别人。 办公感受： 我尝试把画面悬停在显示器右侧，透光调到最大，亮度4档。观感就是显示器暗很多，眼镜却很亮，我在眼镜这个画面码字半个多小时了，眼睛是有点累的。摘下眼镜明显觉得轻松很多，一是眼睛的轻松，一是鼻梁和整个前额的轻松。眼镜框上部温热，但额头和眼睛感觉不到。偶尔应急可以，但不适宜长时间使用。 有个优点是显示器给不了的，就是可以头靠在躺椅上码字，画面悬停在显示器上方，有种度假的感觉呢。
2024年12月13日 · 【DP直连】标准版,这代xreal one重量更轻，更便携。然后内置芯片的原因 不用外界设备就能实现3dof，然后芯片的位置在上方原因，即使长时间佩戴芯片的热度也不会传到脸上。在云台模式下晃动延迟也不高。自带的扬声器也够用，不过在公众场合还是建议配合耳机使用。这次又见证了ar眼镜的升级，xrealone可以定义为便携式显示器。希望以后继续升级，在便携性，连接方式，屏幕素质各方面继续变革。自从19面xreal在ces亮相xreal light。正如同命名一样，是国产ar眼镜之光，ar眼镜赛道上的光。
2024年12月31日 · 【DP直连】标准版,xreal one眼镜直接支持3dof是不小的进步，今天迫不及待的看了两部电影，无可挑剔，沉浸式的体验感觉简直是太棒了，但是官方的3D视频我的手机无法体验，我是华为X5手机，应该是兼容性问题，希望官方早日解决3D播放问题。轻便、操作简单、清晰度高、功能实用，在市场上也是独领风骚。戴上眼镜清晰度、亮度、延迟都比想象中的要更好，悬停模式立马让游戏更有沉浸感，同时视角边缘的信息也可以净收眼底。可惜我的大疆RC2遥控器不支持DP直连输出，本想戴XREAL One眼镜飞无人机的梦想直接泡汤。
2024年12月14日 · 【DP直连】标准版,“XREAL One”、“新品/ 新上市”、“天生 3DoF”、“三档电致变色”、“自研芯片”关注一段时间了，一直想要个苹果眼镜得平替，这不 1/10 价格得到了，而且还很便捷！开始此产品前期产品还要带手机一样转换 BP 设备，就不太想要，但此芯片一出，抱有犹豫试试态度到手后，真得很赞！以后可以便携显示器不说，还可以当墨镜，做家务做饭拖地啥的包括以后出去玩月底出眼镜摄像头配件，妥妥第一人称视角，搭配苹果手机空间视频 YYDS！值得推荐拥有！国产遥遥领先，毕竟长期佩戴都没问题(¯▽¯)�
